time,volume,open,low,high,close,t_plus,longs,shorts,entry,returns,holding,direction
2021-12-09 20:00:00,67815.65149999999,4122.46,4076.16,4202.76,4105.64,4105.64,0,-1,-1,0.0,0,0
2021-12-10 00:00:00,64424.7069,4105.64,4098.0,4199.87,4140.86,4140.78,0,0,0,0.0,0,0
2021-12-10 04:00:00,68043.5533,4140.78,4021.49,4164.33,4031.01,4031.35,0,0,0,0.0,0,0
2021-12-10 08:00:00,60271.9364,4031.35,4021.49,4170.53,4156.82,4156.67,0,0,0,-0.008334829203921812,2,-1
2021-12-10 12:00:00,167491.3037,4156.67,3985.0,4231.08,4022.9,4022.91,0,0,0,0.0,0,0
2021-12-10 16:00:00,114982.4705,4022.91,3929.67,4032.88,4016.56,4016.07,0,0,0,0.0,0,0
2021-12-10 20:00:00,88022.5963,4016.07,3887.37,4057.75,3897.94,3898.31,0,0,0,0.0,0,0
2021-12-11 00:00:00,116167.0998,3898.31,3828.22,4041.0,4008.53,4008.53,0,0,0,0.0,0,0
2021-12-11 04:00:00,81967.1428,4008.53,3929.58,4071.57,3977.79,3978.11,0,0,0,0.0,0,0
2021-12-11 08:00:00,97033.51640000001,3978.11,3964.61,4086.9,4013.99,4014.0,0,0,0,0.0,0,0
2021-12-11 12:00:00,45200.2119,4014.0,3990.04,4063.65,4058.08,4058.01,0,0,0,0.0,0,0
2021-12-11 16:00:00,45499.2799,4058.01,4000.0,4097.08,4004.01,4002.29,0,0,0,0.0,0,0
2021-12-11 20:00:00,41986.1835,4002.29,3977.74,4093.0,4089.37,4089.68,0,0,0,0.0,0,0
2021-12-12 00:00:00,39407.2425,4089.68,4026.95,4097.27,4042.76,4042.76,0,0,0,0.0,0,0
2021-12-12 04:00:00,30661.5924,4042.76,4006.02,4063.47,4055.9,4055.9,0,0,0,0.0,0,0
2021-12-12 08:00:00,37841.828199999996,4055.9,3986.25,4059.95,4036.09,4036.09,0,0,0,0.0,0,0
2021-12-12 12:00:00,42569.2099,4036.09,4015.58,4060.0,4024.68,4024.67,0,0,0,0.0,0,0
2021-12-12 16:00:00,73185.8811,4024.67,4015.85,4169.95,4139.31,4139.58,0,0,0,0.0,0,0
2021-12-12 20:00:00,36869.7616,4139.58,4114.23,4173.63,4130.0,4130.0,0,0,0,0.0,0,0
2021-12-13 00:00:00,83850.8135,4130.0,3953.89,4142.75,3996.32,3996.32,0,0,0,0.0,0,0
2021-12-13 04:00:00,50155.2466,3996.32,3972.36,4046.99,3987.07,3987.08,0,0,0,0.0,0,0
2021-12-13 08:00:00,39724.293,3987.08,3950.27,4032.0,4011.25,4011.26,0,0,0,0.0,0,0
2021-12-13 12:00:00,128122.05990000001,4011.26,3764.12,4021.59,3810.99,3810.99,0,0,0,0.0,0,0
2021-12-13 16:00:00,147658.6357,3810.99,3671.45,3875.12,3765.8,3765.8,0,0,0,0.0,0,0
2021-12-13 20:00:00,83956.182,3765.8,3713.06,3813.26,3781.93,3781.92,0,0,0,0.0,0,0
2021-12-14 00:00:00,56218.9617,3781.92,3750.0,3833.0,3775.14,3775.13,0,0,0,0.0,0,0
2021-12-14 04:00:00,69789.4489,3775.13,3685.0,3795.75,3783.29,3783.28,0,0,0,0.0,0,0
2021-12-14 08:00:00,70052.0972,3783.28,3762.41,3844.7,3839.2,3839.2,0,0,0,0.0,0,0
2021-12-14 12:00:00,84528.706,3839.2,3763.01,3865.09,3785.95,3785.95,0,0,0,0.0,0,0
2021-12-14 16:00:00,50358.262,3785.95,3723.54,3802.62,3768.74,3768.74,0,0,0,0.0,0,0
2021-12-14 20:00:00,64198.2704,3768.74,3768.06,3882.74,3858.99,3858.99,0,0,0,0.0,0,0
2021-12-15 00:00:00,48281.0724,3858.99,3803.2,3896.0,3847.45,3847.45,0,0,0,0.0,0,0
2021-12-15 04:00:00,49903.995,3847.45,3824.25,3895.92,3863.68,3863.67,0,0,0,0.0,0,0
2021-12-15 08:00:00,47105.3717,3863.67,3843.0,3900.0,3851.12,3851.12,0,0,0,0.0,0,0
2021-12-15 12:00:00,86428.4864,3851.12,3653.41,3871.91,3659.38,3659.38,0,0,0,0.0,0,0
2021-12-15 16:00:00,192637.337,3659.38,3643.73,3986.8,3969.54,3969.37,0,0,0,0.0,0,0
2021-12-15 20:00:00,117711.7948,3969.37,3966.01,4092.22,4019.08,4019.54,0,0,0,0.0,0,0
2021-12-16 00:00:00,54921.3036,4019.54,4005.89,4058.47,4018.08,4018.09,0,0,0,0.0,0,0
2021-12-16 04:00:00,42478.5466,4018.09,3978.46,4047.96,4021.68,4021.69,0,0,0,0.0,0,0
2021-12-16 08:00:00,49052.2161,4021.69,4013.49,4083.26,4069.63,4069.99,0,0,0,0.0,0,0
2021-12-16 12:00:00,84094.5074,4069.99,4005.95,4113.43,4082.0,4081.3,0,0,0,0.0,0,0
2021-12-16 16:00:00,86858.7482,4081.3,3980.0,4110.53,3996.82,3996.81,0,0,0,0.0,0,0
2021-12-16 20:00:00,51374.7091,3996.81,3942.11,4047.9,3958.11,3959.11,0,0,0,0.0,0,0
2021-12-17 00:00:00,39856.6015,3959.11,3930.0,3994.1,3968.03,3967.73,0,-1,-1,0.0,0,0
2021-12-17 04:00:00,82642.7503,3967.73,3852.0,3988.69,3881.54,3881.55,0,-1,-1,0.0,0,0
2021-12-17 08:00:00,62266.3089,3881.55,3806.0,3896.1,3834.36,3834.36,0,0,0,0.0,0,0
2021-12-17 12:00:00,134409.483,3834.36,3700.0,3850.7,3834.55,3834.55,0,-1,-1,0.0,0,0
2021-12-17 16:00:00,85799.6875,3834.55,3827.17,3945.0,3881.3,3881.31,0,0,0,0.0,0,0
2021-12-17 20:00:00,58396.0913,3881.31,3822.66,3941.37,3875.42,3875.43,0,0,0,0.02326519193594323,2,-1
2021-12-18 00:00:00,103734.6502,3875.43,3767.01,3906.15,3877.23,3877.24,0,0,0,0.0,0,0
2021-12-18 04:00:00,55434.9334,3877.24,3840.0,3937.0,3890.43,3890.43,0,0,0,0.0,0,0
2021-12-18 08:00:00,73391.4444,3890.43,3875.74,3994.68,3958.13,3958.6,0,0,0,0.0,0,0
2021-12-18 12:00:00,41803.0028,3958.6,3925.7,3983.39,3945.41,3945.41,0,0,0,0.0,0,0
2021-12-18 16:00:00,33886.0585,3945.41,3907.45,3967.86,3943.2,3943.2,0,0,0,0.0,0,0
2021-12-18 20:00:00,31343.165,3943.2,3926.5,3996.93,3959.93,3959.93,0,0,0,0.0,0,0
2021-12-19 00:00:00,63366.283,3959.93,3884.89,4032.43,3988.58,3988.58,0,0,0,0.0,0,0
2021-12-19 04:00:00,41476.4571,3988.58,3965.33,4026.99,3977.0,3976.99,0,0,0,0.0,0,0
2021-12-19 08:00:00,62224.638999999996,3976.99,3897.6,3988.5,3925.36,3925.36,0,0,0,0.0,0,0
2021-12-19 12:00:00,65097.5772,3925.36,3898.21,3998.0,3927.26,3927.25,0,0,0,0.0,0,0
2021-12-19 16:00:00,35579.9468,3927.25,3884.0,3951.89,3914.06,3914.05,0,0,0,0.0,0,0
2021-12-19 20:00:00,38261.4199,3914.05,3896.51,3991.0,3924.14,3924.14,0,0,0,0.0,0,0
2021-12-20 00:00:00,49525.3146,3924.14,3890.0,3983.37,3906.62,3906.62,0,0,0,0.0,0,0
2021-12-20 04:00:00,57436.0431,3906.62,3807.56,3933.76,3823.97,3823.97,0,0,0,0.0,0,0
2021-12-20 08:00:00,52501.428700000004,3823.97,3759.74,3835.0,3813.02,3813.02,0,0,0,0.0,0,0
2021-12-20 12:00:00,75513.1826,3813.02,3753.0,3848.21,3800.77,3800.77,0,-1,-1,0.0,0,0
2021-12-20 16:00:00,47719.5018,3800.77,3792.08,3883.63,3872.19,3872.18,0,0,0,0.0,0,0
2021-12-20 20:00:00,84221.0063,3872.18,3872.03,3968.23,3944.73,3944.72,0,0,0,-0.03787653554411352,1,-1
2021-12-21 00:00:00,77046.8077,3944.72,3913.21,4024.11,4007.46,4007.48,1,0,1,0.0,0,0
2021-12-21 04:00:00,76917.1797,4007.48,3989.32,4055.0,4003.21,4003.37,1,0,1,0.0,0,0
2021-12-21 08:00:00,48692.7529,4003.37,3992.9,4037.73,4025.32,4025.32,0,0,0,0.0,0,0
2021-12-21 12:00:00,68264.2434,4025.32,3959.66,4063.0,3978.21,3978.6,0,0,0,0.0,0,0
2021-12-21 16:00:00,31897.9621,3978.6,3972.01,4013.11,4007.87,4007.87,0,0,0,9.73180153114317e-05,2,1
2021-12-21 20:00:00,38007.4095,4007.87,3995.53,4042.77,4014.15,4014.41,0,0,0,0.0,0,0
2021-12-22 00:00:00,54029.5173,4014.41,3992.03,4074.87,4048.6,4048.6,0,0,0,0.0,0,0
2021-12-22 04:00:00,39224.4621,4048.6,4030.01,4060.0,4047.24,4047.25,0,0,0,0.0,0,0
2021-12-22 08:00:00,41991.5107,4047.25,4003.25,4063.07,4022.51,4022.51,0,0,0,0.0,0,0
2021-12-22 12:00:00,90475.9865,4022.51,3933.4,4031.07,4007.24,4007.18,0,0,0,0.0,0,0
2021-12-22 16:00:00,45328.3045,4007.18,3955.51,4033.32,3997.5,3997.5,0,0,0,0.0,0,0
2021-12-22 20:00:00,32142.0265,3997.5,3973.35,4019.7,3979.51,3979.51,0,0,0,0.0,0,0
2021-12-23 00:00:00,65308.1526,3979.51,3910.1,4005.0,3960.59,3960.6,0,0,0,0.0,0,0
2021-12-23 04:00:00,35726.4219,3960.6,3901.0,3972.0,3911.6,3911.6,0,0,0,0.0,0,0
2021-12-23 08:00:00,46645.4531,3911.6,3893.23,3958.81,3934.32,3934.31,0,-1,-1,0.0,0,0
2021-12-23 12:00:00,42037.3863,3934.31,3925.01,3965.5,3950.65,3950.64,0,0,0,0.0,0,0
2021-12-23 16:00:00,137226.7122,3950.64,3945.58,4150.0,4133.64,4133.64,0,0,0,-0.05066453838157137,1,-1
2021-12-23 20:00:00,53263.6905,4133.64,4085.22,4142.75,4111.41,4111.41,0,0,0,0.0,0,0
2021-12-24 00:00:00,46427.5623,4111.41,4074.0,4129.0,4092.03,4092.02,0,0,0,0.0,0,0
2021-12-24 04:00:00,24655.3608,4092.02,4060.94,4098.93,4088.67,4088.35,0,0,0,0.0,0,0
2021-12-24 08:00:00,33024.3436,4088.35,4070.4,4118.05,4079.0,4079.0,0,0,0,0.0,0,0
2021-12-24 12:00:00,41144.5807,4079.0,4048.22,4113.5,4094.23,4094.23,0,0,0,0.0,0,0
2021-12-24 16:00:00,39549.7262,4094.23,4071.0,4134.84,4078.29,4078.28,0,0,0,0.0,0,0
2021-12-24 20:00:00,46031.5925,4078.28,4017.17,4080.21,4046.36,4046.35,0,0,0,0.0,0,0
2021-12-25 00:00:00,32360.4793,4046.35,4018.62,4075.86,4038.69,4038.7,0,0,0,0.0,0,0
